filename,file_size_bytes,file_size_mb,turn_count,last_modified,outcome,autonomous_swap,manual_needed,has_repeats,context_warning,last_messages
c2311b91-e0be-457b-b973-ee738b62f8a8.jsonl,970004,0.93,233,2025-08-14 10:32:36,clean_end,False,False,False,False,
7e95dcc1-afdd-452d-955c-e36d6320ae83.jsonl,52715,0.05,26,2025-08-14 09:40:36,clean_end,False,False,False,False,
84c55fe9-6662-4efd-904b-c3386f3683ae.jsonl,844748,0.81,480,2025-08-14 09:38:38,clean_end,False,False,False,False,
a41d3c1d-efa9-4405-83c4-8dc5395c521a.jsonl,156,0.0,1,2025-08-14 09:33:10,clean_end,False,False,False,False,
e5125710-53f7-4604-9651-2423ffd9d81c.jsonl,135,0.0,1,2025-08-14 09:30:30,clean_end,False,False,False,False,
b6532495-cd7e-4cbe-b971-b53b9822178b.jsonl,2681484,2.56,897,2025-08-14 07:28:56,clean_end,False,False,False,False,
21115cda-677f-4999-b010-72e259c4935b.jsonl,114088,0.11,72,2025-08-13 13:58:44,clean_end,False,False,False,False,
8c529bf0-c78d-4d7a-90a3-5d8a3202e37c.jsonl,586268,0.56,442,2025-08-13 13:41:45,clean_end,False,False,False,False,
1c93c35e-cfda-46d1-b10b-8972d1693df5.jsonl,3940,0.0,8,2025-08-13 13:26:40,clean_end,False,False,False,False,
9c88467c-f886-4453-bcdc-36cd52b2d92e.jsonl,800844,0.76,444,2025-08-13 13:25:40,clean_end,False,False,False,False,
f62fb8d6-8884-4ef2-b609-e837f9c47abe.jsonl,1615,0.0,4,2025-08-13 13:23:43,clean_end,False,False,False,False,
1be190f3-a1b6-4dcd-be44-b1c7970f3baa.jsonl,796665,0.76,435,2025-08-13 13:23:09,clean_end,False,False,False,False,
84dd7d50-0771-4632-abf0-c06e5c5ddd04.jsonl,483808,0.46,341,2025-08-13 13:21:25,clean_end,False,False,False,False,
32b91d3f-a0b4-4e38-ab9c-4fe3ad3e6721.jsonl,799170,0.76,425,2025-08-13 12:37:29,clean_end,False,False,False,False,
df8833c9-ed22-4bdc-bd91-3731b789adb0.jsonl,868112,0.83,226,2025-08-13 10:56:14,clean_end,False,False,False,False,
3cf75934-cf57-41a5-a05f-b03da2823ca4.jsonl,20558,0.02,20,2025-08-13 09:55:49,clean_end,False,False,False,False,
3950bff8-5bad-4f4b-976f-35aff43380aa.jsonl,891850,0.85,380,2025-08-13 09:54:29,clean_end,False,False,False,False,
9456743f-8f23-4ad7-9c37-4ba9baf886d9.jsonl,13451,0.01,19,2025-08-13 06:47:59,clean_end,False,False,False,False,
5c972851-f5db-43f0-b4a9-225a4c7f7a5f.jsonl,944862,0.9,444,2025-08-13 06:25:27,clean_end,False,False,False,False,
b868871b-cab0-4679-b28c-9b3442d57568.jsonl,5073,0.0,7,2025-08-12 20:47:57,clean_end,False,False,False,False,
793bb96d-d06b-4076-bb7f-f1aeed2098eb.jsonl,5165,0.0,7,2025-08-12 20:47:27,clean_end,False,False,False,False,
eaf22833-0157-4cec-9878-94c4ae93f6c1.jsonl,5860,0.01,8,2025-08-12 20:46:54,clean_end,False,False,False,False,
9c1ba78b-4492-45ec-91de-b442d00cc143.jsonl,77953,0.07,46,2025-08-12 20:38:06,clean_end,False,False,False,False,
3920676f-525e-4b1a-9461-2fa6e6379779.jsonl,11678,0.01,15,2025-08-12 20:16:46,clean_end,False,False,False,False,
a979ea26-5cf7-4412-88b6-b88d2bd4c277.jsonl,29198,0.03,26,2025-08-12 19:46:40,clean_end,False,False,False,False,
5df717a5-7a19-4a8e-b76b-ea9b607519e0.jsonl,5759,0.01,8,2025-08-12 18:45:42,clean_end,False,False,False,False,
5e2ecd9c-05b1-4da6-a822-8c8cab92c73c.jsonl,848266,0.81,478,2025-08-12 18:15:57,clean_end,False,False,False,False,
f1d34122-5b12-446a-b215-277f6817cca4.jsonl,2744985,2.62,984,2025-08-12 15:57:24,clean_end,False,False,False,False,
ca17281c-ceb7-4faa-b2eb-f22c1bcf6c62.jsonl,2719417,2.59,952,2025-08-12 15:50:49,clean_end,False,False,False,False,
7e776cc8-682b-4874-8384-ac96e1151efe.jsonl,125,0.0,1,2025-08-12 15:35:22,clean_end,False,False,False,False,
f09fa48b-dccf-448e-83c7-4b2248a8965e.jsonl,20781,0.02,16,2025-08-12 15:34:54,clean_end,False,False,False,False,
08748818-fd55-4ca4-8e83-9df61ad7c39a.jsonl,2619715,2.5,869,2025-08-12 15:31:44,clean_end,False,False,False,False,
99961647-09c6-4308-bfbc-1b3ae0d00d5b.jsonl,1998055,1.91,789,2025-08-12 10:51:48,clean_end,False,False,False,False,
26c5a689-fdd2-4880-a421-a14eca3dacca.jsonl,18658,0.02,19,2025-08-12 00:41:44,clean_end,False,False,False,False,
8156e1f0-4720-4117-bdb5-1d96b6d115bc.jsonl,3099988,2.96,774,2025-08-12 00:12:37,clean_end,False,False,False,False,
e9168d0a-942f-4616-a21b-d506383d5904.jsonl,1578167,1.51,443,2025-08-11 17:22:06,clean_end,False,False,False,False,
c650f363-54f8-49ad-915b-6164c9e8085a.jsonl,2702787,2.58,797,2025-08-11 12:53:24,clean_end,False,False,False,False,
