filename,file_size_bytes,file_size_mb,turn_count,last_modified,ended_with_error,last_messages
c2311b91-e0be-457b-b973-ee738b62f8a8.jsonl,70757,0.07,23,2025-08-14 09:42:59,False,
7e95dcc1-afdd-452d-955c-e36d6320ae83.jsonl,52715,0.05,26,2025-08-14 09:40:36,False,
84c55fe9-6662-4efd-904b-c3386f3683ae.jsonl,844748,0.81,480,2025-08-14 09:38:38,False,
a41d3c1d-efa9-4405-83c4-8dc5395c521a.jsonl,156,0.0,1,2025-08-14 09:33:10,False,
e5125710-53f7-4604-9651-2423ffd9d81c.jsonl,135,0.0,1,2025-08-14 09:30:30,False,
b6532495-cd7e-4cbe-b971-b53b9822178b.jsonl,2681484,2.56,897,2025-08-14 07:28:56,True,
21115cda-677f-4999-b010-72e259c4935b.jsonl,114088,0.11,72,2025-08-13 13:58:44,False,
8c529bf0-c78d-4d7a-90a3-5d8a3202e37c.jsonl,586268,0.56,442,2025-08-13 13:41:45,False,
1c93c35e-cfda-46d1-b10b-8972d1693df5.jsonl,3940,0.0,8,2025-08-13 13:26:40,False,
9c88467c-f886-4453-bcdc-36cd52b2d92e.jsonl,800844,0.76,444,2025-08-13 13:25:40,False,
