filename,file_size_bytes,file_size_mb,turn_count,last_modified,outcome,autonomous_swap,manual_needed,has_repeats,context_warning,last_messages
c2311b91-e0be-457b-b973-ee738b62f8a8.jsonl,697382,0.67,163,2025-08-14 10:23:18,clean_end,False,False,False,False,
7e95dcc1-afdd-452d-955c-e36d6320ae83.jsonl,52715,0.05,26,2025-08-14 09:40:36,clean_end,False,False,False,False,
84c55fe9-6662-4efd-904b-c3386f3683ae.jsonl,844748,0.81,480,2025-08-14 09:38:38,clean_end,False,False,False,False,
a41d3c1d-efa9-4405-83c4-8dc5395c521a.jsonl,156,0.0,1,2025-08-14 09:33:10,clean_end,False,False,False,False,
e5125710-53f7-4604-9651-2423ffd9d81c.jsonl,135,0.0,1,2025-08-14 09:30:30,clean_end,False,False,False,False,
b6532495-cd7e-4cbe-b971-b53b9822178b.jsonl,2681484,2.56,897,2025-08-14 07:28:56,clean_end,False,False,False,False,
21115cda-677f-4999-b010-72e259c4935b.jsonl,114088,0.11,72,2025-08-13 13:58:44,clean_end,False,False,False,False,
8c529bf0-c78d-4d7a-90a3-5d8a3202e37c.jsonl,586268,0.56,442,2025-08-13 13:41:45,clean_end,False,False,False,False,
1c93c35e-cfda-46d1-b10b-8972d1693df5.jsonl,3940,0.0,8,2025-08-13 13:26:40,clean_end,False,False,False,False,
9c88467c-f886-4453-bcdc-36cd52b2d92e.jsonl,800844,0.76,444,2025-08-13 13:25:40,clean_end,False,False,False,False,
f62fb8d6-8884-4ef2-b609-e837f9c47abe.jsonl,1615,0.0,4,2025-08-13 13:23:43,clean_end,False,False,False,False,
1be190f3-a1b6-4dcd-be44-b1c7970f3baa.jsonl,796665,0.76,435,2025-08-13 13:23:09,clean_end,False,False,False,False,
84dd7d50-0771-4632-abf0-c06e5c5ddd04.jsonl,483808,0.46,341,2025-08-13 13:21:25,clean_end,False,False,False,False,
32b91d3f-a0b4-4e38-ab9c-4fe3ad3e6721.jsonl,799170,0.76,425,2025-08-13 12:37:29,clean_end,False,False,False,False,
df8833c9-ed22-4bdc-bd91-3731b789adb0.jsonl,868112,0.83,226,2025-08-13 10:56:14,clean_end,False,False,False,False,
3cf75934-cf57-41a5-a05f-b03da2823ca4.jsonl,20558,0.02,20,2025-08-13 09:55:49,clean_end,False,False,False,False,
3950bff8-5bad-4f4b-976f-35aff43380aa.jsonl,891850,0.85,380,2025-08-13 09:54:29,clean_end,False,False,False,False,
9456743f-8f23-4ad7-9c37-4ba9baf886d9.jsonl,13451,0.01,19,2025-08-13 06:47:59,clean_end,False,False,False,False,
5c972851-f5db-43f0-b4a9-225a4c7f7a5f.jsonl,944862,0.9,444,2025-08-13 06:25:27,clean_end,False,False,False,False,
b868871b-cab0-4679-b28c-9b3442d57568.jsonl,5073,0.0,7,2025-08-12 20:47:57,clean_end,False,False,False,False,
