filename,file_size_bytes,file_size_mb,turn_count,last_modified,ended_with_error,last_messages
93123d0f-296f-4de2-a33a-fa518878fd71.jsonl,35074,0.03,15,2025-08-14 10:00:26,False,
a02cd772-52b6-444d-b569-a2bae06dbb5b.jsonl,2457378,2.34,534,2025-08-14 09:57:57,False,
d0a347e3-368f-46c8-8ba7-4eda09f9ead0.jsonl,2148399,2.05,582,2025-08-14 09:56:39,False,
c7ebc3a5-6549-48ee-8ac9-55c7f83addaf.jsonl,2145327,2.05,577,2025-08-14 09:56:09,False,
a7e8c96e-7dae-4f03-b743-c7a7e0e1a912.jsonl,1994768,1.9,543,2025-08-14 09:22:35,False,
61579eb6-f87b-4f6c-beb8-246db6e8cf55.jsonl,44604,0.04,24,2025-08-13 16:24:08,False,
126ddcd9-e26b-41e9-9adf-4e020dc059bf.jsonl,888107,0.85,366,2025-08-13 16:17:05,False,
690fa496-080b-461d-b33e-d0e7300beff6.jsonl,1763,0.0,5,2025-08-12 15:50:23,False,
2eb3b306-946a-47c9-9161-0d452372215c.jsonl,2465713,2.35,529,2025-08-12 14:10:13,False,
cdc021d2-55cf-4ce5-852a-10b9bf7abef7.jsonl,2407151,2.3,620,2025-08-12 07:49:19,False,
91c442ce-2223-4ac9-9eb0-b9a133e4ae29.jsonl,1793480,1.71,421,2025-08-11 18:10:42,False,
3de2e990-27a7-4c1c-9509-9465ac76450e.jsonl,2686513,2.56,628,2025-08-11 13:23:24,False,
90228c65-4a87-4f99-9c03-8831500cfae3.jsonl,2441296,2.33,538,2025-08-11 09:38:16,False,
d5196abb-b50b-45ad-a308-75d43058b0f2.jsonl,29851,0.03,26,2025-08-10 16:32:41,False,
c3fe6d22-3890-491f-95bd-4984ffb0c863.jsonl,13293,0.01,19,2025-08-10 16:30:53,False,
b039c236-996c-470f-b4b8-42bad5cca6a6.jsonl,807051,0.77,192,2025-08-10 15:30:32,False,
800c96c2-6260-4516-8ae2-efec3dc748f1.jsonl,2376599,2.27,456,2025-08-10 13:03:27,False,
8875fb15-5812-4d19-b4dc-7cd3148492c4.jsonl,75131,0.07,17,2025-08-09 20:25:33,False,
4db3e450-e11f-44ae-8004-82f60029f44b.jsonl,973552,0.93,366,2025-08-09 20:06:21,False,
34618df3-0bb1-4acb-b2f1-904d15f092f4.jsonl,1628,0.0,4,2025-08-09 15:36:38,False,
b2edd11c-cc26-4c9c-94c9-9c4d0876fc18.jsonl,13675,0.01,18,2025-08-09 15:36:05,False,
7c8deaf4-b9ad-43cb-ba0b-17e30de6d7e4.jsonl,2586447,2.47,429,2025-08-09 15:09:38,False,
a3fe4f1b-a44e-4482-b3b3-dc511bf1cf46.jsonl,4564,0.0,9,2025-08-09 09:49:17,False,
37b6d4fa-ed10-4bb3-b0e6-654113e5cc50.jsonl,1033738,0.99,473,2025-08-09 09:48:34,False,
60241527-8070-4640-a952-38a49f6136b5.jsonl,1280343,1.22,219,2025-08-08 17:56:17,False,
64b0ecfd-07cc-4ba0-8917-8c96e8fe8c06.jsonl,5662,0.01,8,2025-08-08 11:27:55,False,
63cfa047-5f09-4b01-a918-a3463652ebf7.jsonl,366515,0.35,103,2025-08-08 11:24:02,False,
68372163-449f-43b8-941f-62dce97a05e7.jsonl,1975946,1.88,342,2025-08-08 09:15:02,False,
91d34aa5-60a4-43df-9caf-f7189fdafe2b.jsonl,2859289,2.73,676,2025-08-07 14:38:33,False,
407c084a-7b88-466c-9b55-fde5fd872a6b.jsonl,2351913,2.24,658,2025-08-06 21:40:01,False,
8961a9fe-c771-4055-a90b-dcfd41f0f6f6.jsonl,1631,0.0,4,2025-08-05 11:37:36,False,
ec02c4ae-336d-4cbd-b19a-dde437728c08.jsonl,686718,0.65,205,2025-08-05 09:42:09,False,
40161bdb-a7de-4ec3-b6fd-ccc5b534eafd.jsonl,751560,0.72,161,2025-08-04 19:39:44,False,
4a311cc9-c248-4662-80a5-0cdc1cf3a542.jsonl,1808372,1.72,319,2025-08-04 16:53:14,False,
291e59fb-d88a-404f-b095-ea4e94350807.jsonl,863700,0.82,219,2025-08-04 12:28:51,False,
8b71d7cc-f7e3-4c4d-afcf-98b544ca4b11.jsonl,1037001,0.99,281,2025-08-04 06:58:30,False,
6ce26e33-c2f3-4eae-a518-e91598c3d355.jsonl,1090812,1.04,302,2025-08-03 15:11:06,False,
4265a160-1ab2-49f5-ab46-41f40a4d441e.jsonl,1024773,0.98,370,2025-08-03 12:19:59,False,
f814d493-c8d9-4f55-956c-9713b5e9c07f.jsonl,50345,0.05,27,2025-08-02 21:30:32,False,
ca7d9cf2-ea9a-41d7-b92c-982a821a50b1.jsonl,892198,0.85,444,2025-08-02 21:11:18,False,
50163672-f22d-4fa8-b1ea-4e12eaaff55d.jsonl,935971,0.89,292,2025-08-01 22:02:00,False,
cb33c834-6358-453a-af05-8fbb3fff2925.jsonl,4748,0.0,7,2025-08-01 09:46:47,False,
014d0cff-eee7-43bd-9de9-9ff8056299c4.jsonl,248750,0.24,124,2025-08-01 09:44:02,False,
7b1f4b0b-eccd-48a5-95aa-c754e2b807de.jsonl,1224915,1.17,393,2025-08-01 09:28:25,False,
5c99e3df-7f51-42aa-8c3e-7fa68c3e9b34.jsonl,904293,0.86,356,2025-07-31 20:06:01,False,
434cb5ba-0e98-416a-b465-7bf2a859a0d6.jsonl,959422,0.91,342,2025-07-31 14:49:35,False,
c8fd19fe-e480-481e-ad1f-324086981943.jsonl,1076893,1.03,393,2025-07-31 13:49:10,False,
30742551-5cda-48b8-9231-63f74def0cd8.jsonl,551023,0.53,255,2025-07-30 20:58:18,False,
943c9b55-6bab-4bf0-82ed-04960999fdd9.jsonl,1123074,1.07,347,2025-07-30 14:43:09,False,
0dcfcb6a-a573-409c-83eb-2c88dc3c450b.jsonl,1297626,1.24,445,2025-07-30 10:03:08,False,
975aae97-2e09-4029-a030-d51a94e5a85c.jsonl,524894,0.5,308,2025-07-29 20:25:58,False,
c91f2f12-5351-44fa-9f47-99be02580258.jsonl,132482,0.13,96,2025-07-29 12:11:33,False,
3f39feff-0cce-420b-8d08-bda0ce84b920.jsonl,269810,0.26,141,2025-07-29 12:09:24,False,
c74309a9-05ba-467f-b592-ecb2c469b397.jsonl,30432,0.03,30,2025-07-29 11:54:26,False,
6f1d85e5-c241-44d8-8691-8e496827d228.jsonl,61671,0.06,45,2025-07-29 11:40:20,False,
96b7a705-c11e-4a1d-8915-86b6391a8afc.jsonl,31292,0.03,34,2025-07-29 11:36:26,False,
2b43d055-ff45-4e52-aa5d-1f6ee4c7899a.jsonl,45656,0.04,44,2025-07-29 11:34:27,False,
b298aec2-e672-4b51-885b-cd3deafaacf8.jsonl,173790,0.17,166,2025-07-29 11:32:23,False,
8ebd94dd-2919-4ac1-80e0-f83af2f779b7.jsonl,0,0.0,0,2025-07-29 11:24:52,False,
caffb808-7dc3-47b8-b997-e49300f281fa.jsonl,66646,0.06,69,2025-07-29 11:23:37,False,
c772f8e9-ab0f-4f30-9e66-6763809453d1.jsonl,48356,0.05,50,2025-07-29 11:21:30,False,
fb98c295-feb9-4145-acea-ed2a800e1d64.jsonl,33623,0.03,33,2025-07-29 11:15:38,False,
6a56ce38-477b-4d7c-b8c3-e057f7d873fe.jsonl,184273,0.18,119,2025-07-29 11:11:09,False,
aedeee59-2044-4c0b-a0bf-4322982ce8ec.jsonl,112333,0.11,99,2025-07-29 11:01:32,False,
35c13247-d2a6-4333-8b46-c0dd096a1234.jsonl,47203,0.05,41,2025-07-29 10:54:11,False,
95f34c13-19df-4132-81d5-721679420140.jsonl,96987,0.09,57,2025-07-29 10:38:34,False,
89b32bc0-0d6c-44a1-b027-309939f975d7.jsonl,17455,0.02,22,2025-07-29 10:35:17,False,
ff4fc89c-b274-4282-a498-1b655d70d02b.jsonl,251215,0.24,143,2025-07-29 10:33:55,False,
60c49ae0-f71b-4fc5-b5d4-83079546f2db.jsonl,28259,0.03,25,2025-07-29 10:28:17,False,
f4f2142e-577c-4ce9-aca6-e5803d2ec64d.jsonl,1148031,1.09,419,2025-07-29 10:20:14,False,
edf37576-5235-404c-8d06-d712cf9fee95.jsonl,232152,0.22,149,2025-07-28 17:30:22,False,
d6ebd508-8467-42b0-a362-d874ff769fde.jsonl,24896,0.02,22,2025-07-28 17:00:56,True,
ed6424b0-ee0d-45a3-ac1a-c5113ab98dab.jsonl,11591,0.01,14,2025-07-28 16:59:23,False,
45f64085-e33d-4fa6-930c-4a8a41ab11a3.jsonl,30656,0.03,29,2025-07-28 16:58:00,False,
9b0707a8-1d97-4460-bf2b-fe20e5739ba7.jsonl,28516,0.03,36,2025-07-28 16:52:35,False,
4dcf21df-5f35-4bbb-b3d2-ce1de8a41d2e.jsonl,147927,0.14,96,2025-07-28 16:37:59,False,
48304afe-9a3a-4ebf-9aa2-dd2f010376a2.jsonl,37748,0.04,34,2025-07-28 16:04:29,False,
2545c861-ea2f-46eb-abfe-57c4269ff439.jsonl,961690,0.92,492,2025-07-28 16:00:18,False,
4aee4681-9c51-4b9a-aa2a-83f095a8e0e2.jsonl,1810207,1.73,516,2025-07-28 12:10:09,False,
bd5965f5-e170-42fc-adba-1be9da6bff6b.jsonl,1004487,0.96,380,2025-07-28 11:23:25,False,
40f4042d-985d-49a7-943b-c4c0de0f318f.jsonl,1404625,1.34,596,2025-07-28 10:33:03,False,
b42a17b0-8b76-4eec-accc-a3edb6a57333.jsonl,1044244,1.0,436,2025-07-27 22:33:10,False,
d8331978-be61-4546-bd5b-d27035d80679.jsonl,970455,0.93,488,2025-07-26 14:07:27,False,
fd89aee0-173a-42f2-bada-084104b39b44.jsonl,1019297,0.97,392,2025-07-25 19:51:39,False,
2f69ef79-95f5-4400-9900-9a04512d202f.jsonl,1740123,1.66,420,2025-07-25 09:57:40,False,
3d01038d-e891-4d79-8cc4-9785d4caa543.jsonl,1772508,1.69,500,2025-07-24 21:56:38,False,
e336802c-de84-422c-a841-718d73e862de.jsonl,301732,0.29,109,2025-07-24 12:53:19,False,
d23dc2cc-4849-44a5-954f-1c87e6b8b2ef.jsonl,994444,0.95,374,2025-07-24 12:44:59,False,
ed769d4c-4ebc-43c2-b60c-de5f84afc2ff.jsonl,9315,0.01,11,2025-07-24 11:14:23,False,
